,highly_variable
AC117945.1,False
GRIK3,False
AL031430.1,False
AL353604.1,False
LINC01137,False
ZC3H12A,False
MEAF6,False
SNIP1,False
DNALI1,False
GNL2,False
AL513220.1,False
RSPO1,False
C1orf109,False
CDCA8,True
EPHA10,False
MANEAL,False
AL929472.3,False
YRDC,False
C1orf122,False
MTF1,False
AL929472.2,False
INPP5B,False
SF3A3,False
FHL3,False
UTP11,False
POU3F1,False
MIR3659HG,False
LINC02786,False
AL390839.1,False
AL390839.2,False
LINC01343,False
LINC01685,False
AL354702.2,False
RRAGC,False
AL139260.1,False
MYCBP,False
GJA9,False
RHBDL2,False
AKIRIN1,False
NDUFS5,False
MACF1,False
AL356055.1,False
AL442071.2,False
AL442071.1,False
BMP8A,False
PABPC4,False
PABPC4-AS1,False
HEYL,False
AL035404.2,False
NT5C1A,False
HPCAL4,False
PPIE,False
BMP8B,False
OXCT2,False
BMP8B-AS1,False
AL033527.3,False
AL033527.4,False
LINC02811,False
TRIT1,False
MYCL,False
AL033527.2,False
MFSD2A,False
CAP1,False
PPT1,False
RLF,False
TMCO2,False
AL050341.2,False
ZMPSTE24,False
COL9A2,False
SMAP2,False
AL031985.4,False
ZFP69B,False
AL031985.3,False
ZFP69,False
AL603839.3,True
EXO5,False
AL603839.1,False
AL603839.2,False
ZNF684,False
AL356379.2,False
RIMS3,False
AL031289.2,False
AL031289.1,False
NFYC-AS1,False
NFYC,False
KCNQ4,False
CITED4,False
AC119677.1,False
AL391730.2,True
CTPS1,False
SLFNL1-AS1,False
SLFNL1,False
SCMH1,True
AC093151.8,False
AC093151.3,False
FOXO6,False
AC093151.2,False
EDN2,True
HIVEP3,True
AL445933.2,False
AC119676.1,False
AL158216.1,False
GUCA2B,False
GUCA2A,False
FOXJ3,False
AC096540.1,False
RIMKLA,False
ZMYND12,False
PPCS,False
CCDC30,True
PPIH,False
AC098484.4,False
AC098484.2,False
YBX1,False
CLDN19,False
P3H1,False
C1orf50,False
AC098484.1,False
TMEM269,False
SVBP,False
ERMAP,False
AL512353.1,False
ZNF691,False
SLC2A1,False
SLC2A1-AS1,False
AC099795.1,False
FAM183A,False
EBNA1BP2,False
CFAP57,False
TMEM125,False
C1orf210,False
TIE1,True
MPL,False
AL139289.3,False
AL139289.2,False
CDC20,False
ELOVL1,False
MED8,False
AL139289.1,False
SZT2,False
SZT2-AS1,False
HYI,False
HYI-AS1,False
PTPRF,False
KDM4A,False
KDM4A-AS1,False
ST3GAL3,False
AL451062.1,False
ARTN,False
AL357079.1,False
IPO13,False
AL357079.2,False
DPH2,False
ATP6V0B,False
B4GALT2,False
CCDC24,False
SLC6A9,False
AL139220.2,False
KLF17,False
KLF18,False
DMAP1,False
ERI3,False
ERI3-IT1,False
RNF220,False
TMEM53,True
ARMH1,False
KIF2C,False
AL592166.1,False
RPS8,False
BEST4,False
PLK3,False
TCTEX1D4,False
BTBD19,False
PTCH2,False
EIF2B3,False
HECTD3,False
UROD,False
ZSWIM5,True
LINC01144,False
HPDL,False
MUTYH,False
TOE1,False
TESK2,True
CCDC163,False
MMACHC,False
PRDX1,False
AKR1A1,False
NASP,False
CCDC17,False
GPBP1L1,False
TMEM69,False
IPP,False
AL604028.1,False
MAST2,False
PIK3R3,False
AL358075.1,False
AL358075.2,False
TSPAN1,False
P3R3URF,False
POMGNT1,False
LURAP1,False
RAD54L,False
LRRC41,False
UQCRH,False
NSUN4,False
FAAH,False
LINC01398,False
DMBX1,False
TMEM275,False
MKNK1-AS1,False
KNCN,False
MKNK1,False
MOB3C,False
ATPAF1,False
TEX38,False
EFCAB14-AS1,False
EFCAB14,False
CYP4B1,False
CYP4A11,False
CYP4X1,False
CYP4Z1,False
CYP4A22-AS1,False
CYP4A22,False
LINC00853,False
PDZK1IP1,False
TAL1,False
AL135960.1,False
STIL,False
CMPK1,False
LINC01389,False
FOXE3,False
FOXD2-AS1,False
FOXD2,True
LINC01738,False
TRABD2B,False
AL691459.1,False
AC096541.1,False
LINC02794,False
AL356289.1,False
AL109659.1,False
SLC5A9,False
AL109659.2,False
SPATA6,False
AGBL4,True
AL391844.1,False
BEND5,True
AL645507.1,False
AC099788.1,False
AL590432.1,False
AGBL4-IT1,False
ELAVL4,False
AL592182.2,False
AL592182.1,False
LINC02808,False
AL592182.3,False
DMRTA2,False
AL049637.2,False
FAF1,False
AL049637.1,False
CDKN2C,False
C1orf185,False
LINC01562,False
RNF11,False
AL162430.2,False
TTC39A,False
TTC39A-AS1,False
EPS15,False
AC104170.2,False
AC104170.1,True
OSBPL9,False
